dataset,method,n_clusters,top_k,nmae,nrmse,entropy
syn,gmm,77,10,0.18688542308904652,0.25282931717818447,0.7776834640752945
syn,gmm,82,10,0.18699579249922044,0.25279730391069427,0.7798817978434028
syn,gmm,87,10,0.1870943272352709,0.25297936667740156,0.7809258899525353
syn,gmm,92,10,0.1872257213761618,0.2531261050687549,0.7810940444043273
syn,gmm,97,10,0.18665954600202192,0.25259177457160514,0.7746776290914766
syn03,gmm,2,10,0.11532378422597808,0.18241820021823163,0.3741628043084911
syn03,gmm,7,10,0.1137805743494349,0.17954311182855004,0.8131664054657909
syn03,gmm,12,10,0.1137805743494349,0.17954311182855004,0.724431510522275
syn03,gmm,17,10,0.1137805743494349,0.17954311182855004,0.7437421808153857
syn03,gmm,22,10,0.1137805743494349,0.17954311182855004,0.737251281427376
syn03,gmm,27,10,0.1137805743494349,0.17954311182855004,0.7369244979150562
syn03,gmm,32,10,0.1137805743494349,0.17954311182855004,0.7028767019856226
syn03,gmm,37,10,0.1137805743494349,0.17954311182855004,0.714071743071597
syn03,gmm,42,10,0.1137805743494349,0.17954311182855004,0.6842269857603365
syn03,gmm,47,10,0.1137805743494349,0.17954311182855004,0.6832681285860762
syn03,gmm,52,10,0.1137805743494349,0.17954311182855004,0.6790906628781195
syn03,gmm,57,10,0.1137805743494349,0.17954311182855004,0.6749520541964882
syn03,gmm,62,10,0.1137805743494349,0.17954311182855004,0.6801036880796377
syn03,gmm,67,10,0.1137805743494349,0.17954311182855004,0.6623621791814365
syn03,gmm,72,10,0.1137805743494349,0.17954311182855004,0.6739474928671083
syn03,gmm,77,10,0.1137805743494349,0.17954311182855004,0.6689775590130121
syn03,gmm,82,10,0.1137805743494349,0.17954311182855004,0.658858662197912
syn03,gmm,87,10,0.1137805743494349,0.17954311182855004,0.6480093704988905
syn03,gmm,92,10,0.1137805743494349,0.17954311182855004,0.6549774663381707
syn03,gmm,97,10,0.1137805743494349,0.17954311182855004,0.635914540684834
syn80,gmm,2,10,0.020684911071067492,0.05419860702027973,0.8293832988625726
syn80,gmm,7,10,0.019260477527046904,0.05337877693409998,0.8257742234548442
syn80,gmm,12,10,0.01924231948597826,0.05384191802719773,0.7877405594521123
syn80,gmm,17,10,0.019036285544874038,0.0544014332946956,0.8388524220233583
syn80,gmm,22,10,0.019152443550079126,0.05503553642586182,0.8380379070586276
syn80,gmm,27,10,0.01998444888426501,0.056447454592613314,0.8425830379093215
syn80,gmm,32,10,0.02047434708333063,0.05833448657112543,0.8327819829252178
syn80,gmm,37,10,0.02146946985615081,0.06108553846096969,0.7967346175199642
syn80,gmm,42,10,0.021904677814120234,0.06235459621528501,0.8206211668534842
syn80,gmm,47,10,0.022551772926395087,0.06400591362250299,0.8265502808400023
syn80,gmm,52,10,0.023539745369477907,0.06651773080101452,0.8251701696065995
syn80,gmm,57,10,0.02465405204561169,0.06897221234736978,0.8347368978336647
syn80,gmm,62,10,0.025370277338663944,0.07074522941906305,0.8419775883434454
syn80,gmm,67,10,0.026601579974541656,0.0735405388987447,0.8457569834013942
syn80,gmm,72,10,0.027334365795424854,0.07525211558501306,0.8496898202235208
syn80,gmm,77,10,0.02826087040073108,0.07725796645911649,0.8503837060311372
syn80,gmm,82,10,0.029371611786373854,0.07946920519787873,0.8491342870425853
syn80,gmm,87,10,0.030098321839857268,0.08105924428652737,0.8539460183570224
syn80,gmm,92,10,0.030990629612619745,0.08302543659570102,0.853617059883868
syn80,gmm,97,10,0.03227002192660197,0.0857074964721983,0.8522247244447341
