dataset,method,n_clusters,top_k,nmae,nrmse,entropy
books,hard,82,10,0.14094171568723615,0.189399940655836,0.834621248935856
books,hard,87,10,0.14089595517272785,0.18928946834952073,0.8279032754831311
books,hard,92,10,0.14077535875323113,0.18910133811588475,0.821555705409214
books,hard,97,10,0.14067886640326616,0.18887074541605084,0.815484076331811
jester,hard,2,10,0.16822853365080556,0.21647698067558827,0.9935271547573203
jester,hard,7,10,0.16879199925920035,0.21723204497017184,0.9370691653355468
jester,hard,12,10,0.16908759365574863,0.2176728673265746,0.9134228763110519
jester,hard,17,10,0.1691022857878708,0.21776281580843068,0.909382061248594
jester,hard,22,10,0.16920889668958516,0.21806039987403728,0.9260076313799555
jester,hard,27,10,0.16933790705058677,0.21826853479984334,0.9176348370185439
jester,hard,32,10,0.16939783606079983,0.2183476305616338,0.9041659765245285
jester,hard,37,10,0.16966589957187173,0.2187673275303877,0.8970296311158492
jester,hard,42,10,0.16980138962196822,0.2189955335425736,0.8902057102764285
jester,hard,47,10,0.1699788497333227,0.21926157559538245,0.8929852882864073
jester,hard,52,10,0.17021669764480696,0.2195225126334618,0.8907560272100691
jester,hard,57,10,0.17011267018813453,0.2194294420858732,0.9025608586481108
jester,hard,62,10,0.1702442126745533,0.21964696748047122,0.9017699543962889
jester,hard,67,10,0.17032755721577592,0.21979024228192018,0.8915322764370819
jester,hard,72,10,0.17060643740168058,0.22010974852240928,0.8895946869282924
jester,hard,77,10,0.170639558694422,0.2201725215390158,0.8887268213389594
jester,hard,82,10,0.1706877050116223,0.22039907025362226,0.8871101299304129
jester,hard,87,10,0.17084964382711315,0.2205969730717153,0.8861026003606707
jester,hard,92,10,0.17096331847932472,0.220717178345864,0.8824807875858754
jester,hard,97,10,0.17101142870948957,0.22076344663722267,0.8791381120800743
ml-small,hard_pearson,2,10,0.15288278162202149,0.20108300564419798,0.8745596494599781
ml-small,hard_pearson,7,10,0.1630902255594736,0.21356574422550162,0.9778132712661993
ml-small,hard_pearson,12,10,0.16554862330368492,0.21666656973447762,0.9713353332935227
ml-small,hard_pearson,17,10,0.16833971261726421,0.21978138221676594,0.9763175961159808
ml-small,hard_pearson,22,10,0.16919296068426315,0.22060526957353327,0.9749166902933286
ml-small,hard_pearson,27,10,0.1702902351577122,0.22168114865162858,0.9608005996136582
ml-small,hard_pearson,32,10,0.17097232370806933,0.2226595895937285,0.9628916188110038
ml-small,hard_pearson,37,10,0.17063925773021466,0.22246564586700296,0.9587822572201551
ml-small,hard_pearson,42,10,0.171110583061101,0.22243170456846423,0.9526581541335556
ml-small,hard_pearson,47,10,0.1720224371626246,0.22374586986764608,0.9564341407289797
ml-small,hard_pearson,52,10,0.17183953788671733,0.2232070110369008,0.9425587052551281
ml-small,hard_pearson,57,10,0.1716114113056173,0.2229089958190847,0.9293210143910565
ml-small,hard_pearson,62,10,0.17227819187587914,0.22340012457631198,0.927390738671023
ml-small,hard_pearson,67,10,0.1718382461041071,0.223199978808925,0.925220467259597
ml-small,hard_pearson,72,10,0.1718890023821921,0.22314742460086845,0.9152017294310024
ml-small,hard_pearson,77,10,0.17211548343158062,0.22382931057724803,0.9052234438260998
ml-small,hard_pearson,82,10,0.17258624533036385,0.22368564126865018,0.9075244869859006
ml-small,hard_pearson,87,10,0.17227412997833055,0.22369700022436884,0.8923142599635095
ml-small,hard_pearson,92,10,0.17205066528527874,0.22343543309859476,0.8974277729482558
ml-small,hard_pearson,97,10,0.17156256498103703,0.22288981122562362,0.883787820193667
ml-1m,hard_pearson,2,10,0.17800680324000412,0.22882133944293112,0.9363334959627403
ml-1m,hard_pearson,7,10,0.18145196652284049,0.23330105705173992,0.9785853278854685
ml-1m,hard_pearson,12,10,0.18391576467880313,0.23647344729483816,0.9765044543845812
ml-1m,hard_pearson,17,10,0.18542157612833793,0.23855765627113326,0.9600559968362417
ml-1m,hard_pearson,22,10,0.1872703683476926,0.2409157767211368,0.9658169307449697
ml-1m,hard_pearson,27,10,0.1878775232682725,0.24177855948973487,0.9411209124476775
ml-1m,hard_pearson,32,10,0.18829499048952908,0.2423549305046985,0.929093799587358
ml-1m,hard_pearson,37,10,0.18916844452317888,0.2434281389912704,0.9189483559696077
ml-1m,hard_pearson,42,10,0.1904670762646914,0.24510678364341237,0.9309523854591788
ml-1m,hard_pearson,47,10,0.19058296663418917,0.24531015105260456,0.9164888427012533
ml-1m,hard_pearson,52,10,0.19132777797442285,0.24622882791102935,0.9082307215578451
ml-1m,hard_pearson,57,10,0.19182653484169326,0.24685165068453027,0.9070876054726
ml-1m,hard_pearson,62,10,0.1919615600852544,0.24709077171706367,0.9005795535606194
ml-1m,hard_pearson,67,10,0.1923800601597149,0.24755038775291477,0.8892354925546325
ml-1m,hard_pearson,72,10,0.19251418865565753,0.24777189561784696,0.886194331049491
ml-1m,hard_pearson,77,10,0.19321505648439358,0.24859264907870227,0.8882083083494173
ml-1m,hard_pearson,82,10,0.19367277027934485,0.24910922950726064,0.8826703528788208
ml-1m,hard_pearson,87,10,0.1941922555537175,0.24972447210805898,0.8740397061720252
ml-1m,hard_pearson,92,10,0.19432728255380427,0.24994988009324753,0.8756871594399094
ml-1m,hard_pearson,97,10,0.19472761778518574,0.25045639349571125,0.860532241587913
books,hard_pearson,2,10,0.1455524937220848,0.19679457628985092,0.005744267297543992
books,hard_pearson,7,10,0.14637007838171406,0.1976899640243514,0.0655696207263947
books,hard_pearson,12,10,0.1474553516885195,0.1987048595733713,0.13584164087434686
books,hard_pearson,17,10,0.14673161642419844,0.19795296559491238,0.0761679725879489
books,hard_pearson,22,10,0.14710627697429307,0.19781808122821284,0.147754444226434
books,hard_pearson,27,10,0.14662631173470494,0.1978072349986457,0.13984983291701253
books,hard_pearson,32,10,0.14685207106051842,0.1979483089891395,0.16173981998082354
books,hard_pearson,37,10,0.14672914224250277,0.19758111497421044,0.17911244349672234
books,hard_pearson,42,10,0.1464405596125679,0.19714177358386623,0.167265929839863
books,hard_pearson,47,10,0.14656154149538797,0.19745653068874824,0.2137075029027083
books,hard_pearson,52,10,0.14575976910479446,0.19646592916980726,0.21015701350787577
books,hard_pearson,57,10,0.1462433061718787,0.19679081207495058,0.2173228878080001
books,hard_pearson,62,10,0.14594458716444217,0.19635763210192125,0.2249198684596773
books,hard_pearson,67,10,0.14603077369858722,0.1963615749404672,0.23406191301997087
books,hard_pearson,72,10,0.14550367859323182,0.19596928311671452,0.23031106118467556
books,hard_pearson,77,10,0.14571348965544245,0.19627037659203692,0.23788370800733255
books,hard_pearson,82,10,0.1451948925393851,0.1953901899870157,0.28446032149280476
books,hard_pearson,87,10,0.1441894239111204,0.19390222826657738,0.29010367060996917
books,hard_pearson,92,10,0.1444003658388449,0.19420469156131412,0.2989035682228909
books,hard_pearson,97,10,0.14469264153295183,0.19480760634118124,0.2871330545053239
jester,hard_pearson,2,10,0.16898119947599083,0.21709652704310428,0.9673420871142465
jester,hard_pearson,7,10,0.17103490258074222,0.2194312298575333,0.9236877094859735
jester,hard_pearson,12,10,0.1722107489348717,0.22082875734998603,0.9028031806128066
jester,hard_pearson,17,10,0.1730198197164037,0.22163197145777339,0.9071911022261903
jester,hard_pearson,22,10,0.17371149661165006,0.22257380690866815,0.8912328343799292
jester,hard_pearson,27,10,0.17363076137959887,0.22267405174764682,0.8784430652572368
jester,hard_pearson,32,10,0.17458934855049116,0.22378759240741447,0.886049245415433
jester,hard_pearson,37,10,0.17455510544820113,0.22380056166107648,0.8672215388366856
jester,hard_pearson,42,10,0.17538538528723646,0.22466567375314303,0.8667995489077706
jester,hard_pearson,47,10,0.17525506106177086,0.22461053193850286,0.8677880911141956
jester,hard_pearson,52,10,0.17583242613897068,0.2252024004638177,0.8619819485339832
jester,hard_pearson,57,10,0.17579239475823577,0.22524559197725136,0.8636285496074351
jester,hard_pearson,62,10,0.1762498389510882,0.22579924250561095,0.8408967336552571
jester,hard_pearson,67,10,0.17669190107960867,0.22644848506137466,0.8586073621669899
jester,hard_pearson,72,10,0.1770186876372066,0.22669251224246204,0.8573506723335539
jester,hard_pearson,77,10,0.17703717654635673,0.2268671217404513,0.8602365294899992
jester,hard_pearson,82,10,0.17696981439410842,0.22681290176358115,0.8322623346720395
jester,hard_pearson,87,10,0.17751992358663904,0.2276283592603582,0.8514827081550506
jester,hard_pearson,92,10,0.1778984818021473,0.22790842821708351,0.8579623908156243
jester,hard_pearson,97,10,0.17745599625431246,0.22753577034665695,0.8392471538979919
ml-small,fuzzy,2,10,0.15252834621851447,0.20077048613273218,0.9863947480228648
syn,hard,2,10,0.14955957667630007,0.20330907265835108,0.9666846850696327
syn,hard,7,10,0.16750195069294083,0.23051087981988272,0.9117995895094262
syn,hard,12,10,0.17514853725242047,0.2401750516293733,0.891446999829974
syn,hard,17,10,0.18086152123592258,0.24615869334921806,0.8857879010847816
syn,hard,22,10,0.18307248930248118,0.2490550612734423,0.8756530996432985
syn,hard,27,10,0.1840720670014016,0.24982550164471973,0.8475205479757811
syn,hard,32,10,0.18571812423795406,0.2516169865773301,0.8340066009012931
syn,hard,37,10,0.18659014670249957,0.25225939744314924,0.8284759040261189
syn,hard,42,10,0.1866295099182455,0.25207348974248933,0.8098874883931326
syn,hard,47,10,0.18746424587956226,0.25298131951216984,0.8069553296105301
syn,hard,52,10,0.18825797450053866,0.2535228249209668,0.8059585888083456
syn,hard,57,10,0.18886176582498013,0.25410923276077624,0.805525849770332
syn,hard,62,10,0.1891170961137506,0.25429742453056925,0.7992326543333936
syn,hard,67,10,0.18931753519781952,0.2542938334783303,0.7926288683820941
syn,hard,72,10,0.18955886395088867,0.25438987173682487,0.7872992016124428
syn,hard,77,10,0.18988955997903387,0.2545093855175019,0.7855979340626913
syn,hard,82,10,0.19003832402976545,0.25438070070449437,0.7834317755875493
syn,hard,87,10,0.18985339677994517,0.25408201697666627,0.7807907562690053
syn,hard,92,10,0.19006250309095737,0.2540465079086729,0.7785479034607018
syn,hard,97,10,0.19033492157194853,0.2541883250932841,0.7764022433743616
syn03,hard,2,10,0.1141422380022378,0.17984825959792355,0.9729810626978829
syn03,hard,7,10,0.1137805743494349,0.17954311182855004,0.9309332622985936
syn03,hard,12,10,0.1137805743494349,0.17954311182855004,0.8972948628057743
syn03,hard,17,10,0.1137805743494349,0.17954311182855004,0.8580251195376025
syn03,hard,22,10,0.1137805743494349,0.17954311182855004,0.8366275191970767
syn03,hard,27,10,0.1137805743494349,0.17954311182855004,0.8148759207138212
syn03,hard,32,10,0.1137805743494349,0.17954311182855004,0.7937833561754143
syn03,hard,37,10,0.1137805743494349,0.17954311182855004,0.7732572083868007
syn03,hard,42,10,0.1137805743494349,0.17954311182855004,0.7597774755078843
syn03,hard,47,10,0.1137805743494349,0.17954311182855004,0.7496977051464798
syn03,hard,52,10,0.1137805743494349,0.17954311182855004,0.7432895879140957
syn03,hard,57,10,0.1137805743494349,0.17954311182855004,0.7330751236120046
syn03,hard,62,10,0.1137805743494349,0.17954311182855004,0.7278726175367837
syn03,hard,67,10,0.1137805743494349,0.17954311182855004,0.7254841133247905
syn03,hard,72,10,0.1137805743494349,0.17954311182855004,0.7228580316623837
syn03,hard,77,10,0.1137805743494349,0.17954311182855004,0.7211639062496505
syn03,hard,82,10,0.1137805743494349,0.17954311182855004,0.718217676985696
syn03,hard,87,10,0.1137805743494349,0.17954311182855004,0.7174062383775637
syn03,hard,92,10,0.1137805743494349,0.17954311182855004,0.71767676569301
syn03,hard,97,10,0.1137805743494349,0.17954311182855004,0.7175434822347182
syn80,hard,2,10,0.01987624156734235,0.054187462656614595,0.8872088745112491
syn80,hard,7,10,0.020028413797166862,0.05469220930957123,0.7493520020584299
syn80,hard,12,10,0.019363382885215864,0.054042880557753935,0.8839654793534988
syn80,hard,17,10,0.019285009521056988,0.054298371543477233,0.8829348502142815
syn80,hard,22,10,0.019680318562213788,0.05579105082832088,0.8455502879345229
syn80,hard,27,10,0.020367331103586895,0.057781832512437147,0.8368569999335552
syn80,hard,32,10,0.020991886995501564,0.05965314337553651,0.8309325431222312
syn80,hard,37,10,0.021455851201777804,0.06093813607776392,0.8439593400585437
syn80,hard,42,10,0.022341032246456744,0.06361946315190257,0.831190059635318
syn80,hard,47,10,0.02350324350327404,0.06692391553603529,0.8218240097566607
syn80,hard,52,10,0.02449274736973619,0.06951966688607536,0.8185209870435933
syn80,hard,57,10,0.02543505851177371,0.07201000341168498,0.8261907728727829
syn80,hard,62,10,0.0267198093530999,0.07518356960516898,0.8204841966314517
syn80,hard,67,10,0.027635472373134812,0.07733445576595546,0.8209286970584648
syn80,hard,72,10,0.028831160778004218,0.08015307311416094,0.8188640902000897
syn80,hard,77,10,0.030045657783516276,0.08287544375790626,0.8147716057887159
syn80,hard,82,10,0.031205021540145768,0.08538879966475617,0.814280871626363
syn80,hard,87,10,0.032413657810752436,0.08781825188021346,0.8162676248415233
syn80,hard,92,10,0.03368129795036177,0.09039999065738483,0.8146010338830981
syn80,hard,97,10,0.03535401620573046,0.09366057605050401,0.8108265381357498
syn,hard_pearson,2,10,0.15485944961134343,0.2069959389100334,0.9857592284103976
syn,hard_pearson,7,10,0.17476154318997397,0.2336540663499099,0.9637122350488729
syn,hard_pearson,12,10,0.18155843690538892,0.2424266701725207,0.9420732846636353
syn,hard_pearson,17,10,0.18289506559435523,0.24418377689471238,0.9021003701419577
syn,hard_pearson,22,10,0.18557417051261688,0.24833016414787998,0.9140661525766683
syn,hard_pearson,27,10,0.1867993100111252,0.2500194968211015,0.8969370082061692
syn,hard_pearson,32,10,0.1863327479632153,0.2494262998386155,0.9046559249254141
syn,hard_pearson,37,10,0.18747120708851955,0.2507184353208002,0.8986972790188773
syn,hard_pearson,42,10,0.18848442632769105,0.25139754074983844,0.8971824189184424
syn,hard_pearson,47,10,0.1885067811934822,0.25257664119255085,0.8961165868176918
syn,hard_pearson,52,10,0.18892589833550238,0.25223777370314615,0.8749154228663535
syn,hard_pearson,57,10,0.189226779869087,0.25277387310923977,0.8866675685631235
syn,hard_pearson,62,10,0.1896541577092606,0.25308016551392337,0.8847314328106013
syn,hard_pearson,67,10,0.18931387176431536,0.2531591253497302,0.8853002173320232
syn,hard_pearson,72,10,0.1899333759192073,0.2537178927530254,0.8726624098520877
syn,hard_pearson,77,10,0.18905341627547667,0.2525251635418342,0.8737054949855347
syn,hard_pearson,82,10,0.18911981930234717,0.25257794399634703,0.8649721165517722
syn,hard_pearson,87,10,0.1883435085332821,0.2511522610405114,0.8692947018552013
syn,hard_pearson,92,10,0.19063467463450037,0.2546187657567838,0.8712827983779754
syn,hard_pearson,97,10,0.18993112062016468,0.2532824799951897,0.8695769026183701
syn03,hard_pearson,2,10,0.11568544787878099,0.18272334798760514,0.01531388218237247
syn03,hard_pearson,7,10,0.11568544787878099,0.18272334798760514,0.036241228784675436
syn03,hard_pearson,12,10,0.11568544787878099,0.18272334798760514,0.05364055303433233
syn03,hard_pearson,17,10,0.11568544787878099,0.18272334798760514,0.06707614868539788
syn03,hard_pearson,22,10,0.11457433676766988,0.18058565330537424,0.07492512532836007
syn03,hard_pearson,27,10,0.11532378422597808,0.18241820021823163,0.08208223861172649
syn03,hard_pearson,32,10,0.11543853429853408,0.18244035222425864,0.08712326203147178
syn03,hard_pearson,37,10,0.11532378422597808,0.18241820021823163,0.10010795175758122
syn03,hard_pearson,42,10,0.11457433676766988,0.18058565330537424,0.10892676349489858
syn03,hard_pearson,47,10,0.11421267311486698,0.18028050553600072,0.1139238666515685
syn03,hard_pearson,52,10,0.11532378422597808,0.18241820021823163,0.14031664216611658
syn03,hard_pearson,57,10,0.11438915158248471,0.18013125536127003,0.14914016246482711
syn03,hard_pearson,62,10,0.11507687064573117,0.18213520445488512,0.15689926989818634
syn03,hard_pearson,67,10,0.11457433676766988,0.18058565330537424,0.16225912159687633
syn03,hard_pearson,72,10,0.1140274879296818,0.17982610759189652,0.1797358848723602
syn03,hard_pearson,77,10,0.11457433676766988,0.18058565330537424,0.1857250016323387
syn03,hard_pearson,82,10,0.11507687064573117,0.18213520445488512,0.19333538796458546
syn03,hard_pearson,87,10,0.1140274879296818,0.17982610759189652,0.21423216232402228
syn03,hard_pearson,92,10,0.11457433676766988,0.18058565330537424,0.2166538639597245
syn03,hard_pearson,97,10,0.114891685460546,0.18168080651078095,0.21329000553481298
syn80,hard_pearson,2,10,0.02081977698866861,0.0543891986697946,0.456332530478024
syn80,hard_pearson,7,10,0.02068580549373574,0.05523065783236862,0.6229489234701902
syn80,hard_pearson,12,10,0.02121097177746081,0.05663013701104895,0.662891341423868
syn80,hard_pearson,17,10,0.021692767108991522,0.057947020930740056,0.6840385831425502
syn80,hard_pearson,22,10,0.022078380411104742,0.05889945209754344,0.7434607252046309
syn80,hard_pearson,27,10,0.02290785017676391,0.06179244137887955,0.7610891804508807
syn80,hard_pearson,32,10,0.023789633518368398,0.06490229075659937,0.7373481849854782
syn80,hard_pearson,37,10,0.023688588716809636,0.06364489731391043,0.7874414814815495
syn80,hard_pearson,42,10,0.02527854102126455,0.06760849881399661,0.7861695966186079
syn80,hard_pearson,47,10,0.026546667213245244,0.07066289315719607,0.798884492475345
syn80,hard_pearson,52,10,0.027481993025391328,0.0729297002029562,0.7886610467306899
syn80,hard_pearson,57,10,0.028992989307400917,0.07606366788832658,0.7871323234127166
syn80,hard_pearson,62,10,0.02949837912681068,0.07743297372272681,0.7915619807528881
syn80,hard_pearson,67,10,0.030383967335302926,0.07947037899028296,0.8030995352525011
syn80,hard_pearson,72,10,0.031009773616112124,0.08073775701439186,0.8133291249870975
syn80,hard_pearson,77,10,0.032796494061096124,0.08411597396692763,0.8057624793974483
syn80,hard_pearson,82,10,0.034141934288258256,0.08700156545497414,0.8166058581246937
syn80,hard_pearson,87,10,0.03461499083184201,0.08756148773416242,0.8272898098461907
syn80,hard_pearson,92,10,0.03631730785109984,0.0915063999086993,0.8156783243226199
syn80,hard_pearson,97,10,0.03752983391810572,0.09334900470275863,0.8173601308380871
ml-small,fuzzy,7,10,0.15783063566812744,0.2076467223492811,0.8287784906363722
ml-small,fuzzy,12,10,0.15946429410050383,0.20940342434761267,0.8002332622730801
ml-small,fuzzy,17,10,0.16000175140146033,0.21026669829461878,0.7833945931427968
ml-small,fuzzy,22,10,0.16368135401300446,0.2144580893997506,0.8127632987593605
ml-small,fuzzy,27,10,0.1633033421947646,0.21400465348509595,0.7727804575555846
ml-small,fuzzy,32,10,0.16546848967852912,0.21651776111373242,0.785978282567691
ml-small,fuzzy,37,10,0.1646302612267146,0.21546042631335788,0.7722245430065577
ml-small,fuzzy,42,10,0.16531848163370155,0.2161210577405474,0.7794833508353023
ml-small,fuzzy,47,10,0.1640233718772054,0.21467550977113,0.727266200276057
ml-small,fuzzy,52,10,0.1667879095174652,0.2178497160890001,0.7720042371423183
ml-small,fuzzy,57,10,0.16466857804433874,0.21590937712615105,0.7261427286846154
ml-small,fuzzy,62,10,0.16877386847918394,0.22052586651915101,0.7354612150817931
ml-small,fuzzy,67,10,0.16922674887442818,0.2208041329745095,0.7450744950669597
ml-small,fuzzy,72,10,0.16973027220773962,0.2212818550405466,0.7286017402768599
ml-small,fuzzy,77,10,0.16993153047102982,0.22171352639694625,0.7252138708060135
ml-small,fuzzy,82,10,0.16961940711445936,0.22096019472627892,0.7393839725390945
ml-small,fuzzy,87,10,0.16834518336497553,0.21979171835578723,0.7405916193194765
ml-small,fuzzy,92,10,0.17131586124253995,0.22333343395699518,0.7482095509103999
ml-small,fuzzy,97,10,0.17131616651554718,0.22323513315677448,0.763863287947332
ml-1m,fuzzy,2,10,0.17800025587791182,0.22789673368949667,0.9848392976256006
ml-1m,fuzzy,7,10,0.17898509822221664,0.23019921019774708,0.7039064908016833
